ship,depPort,arrPort,route,scheduled_departure,estimated_departure,actual_departure,scheduled_arrival,estimated_arrival,actual_arrival,departure_delay_hours,scheduled_transit_hours,actual_transit_hours,avg_speed_knots,arrival_delay_hours
Megastar,FIHEL,EETLL,FIHEL → EETLL,2018-04-06 07:30:00+00:00,2018-04-06 07:30:00+00:00,2018-04-06 06:30:14+00:00,2018-04-06 09:30:00+00:00,2018-04-06 09:29:00+00:00,2018-04-06 09:32:00+00:00,-0.9961111111111111,2.0,3.0294444444444446,21.16355140186916,0.03333333333333333
Megastar,EETLL,FIHEL,EETLL → FIHEL,2018-04-06 16:30:00+00:00,2018-04-06 16:30:00+00:00,2018-04-06 15:25:21+00:00,2018-04-06 18:30:00+00:00,2018-04-06 18:23:00+00:00,2018-04-06 18:49:00+00:00,-1.0775,2.0,3.3941666666666666,19.9968253968254,0.31666666666666665
Star,FIHEL,EETLL,FIHEL → EETLL,2018-04-06 16:30:00+00:00,2018-04-06 16:30:00+00:00,2018-04-06 16:20:14+00:00,2018-04-06 18:30:00+00:00,2018-04-06 18:26:00+00:00,2018-04-06 18:26:00+00:00,-0.16277777777777777,2.0,2.096111111111111,20.69913043478261,-0.06666666666666667
Star,EETLL,FIHEL,EETLL → FIHEL,2018-04-07 07:30:00+00:00,2018-04-07 07:30:00+00:00,2018-04-07 07:20:15+00:00,2018-04-07 09:30:00+00:00,2018-04-07 09:32:00+00:00,2018-04-07 09:51:00+00:00,-0.1625,2.0,2.5125,20.19685039370079,0.35
Megastar,EETLL,FIHEL,EETLL → FIHEL,2018-04-07 10:30:00+00:00,2018-04-07 10:30:00+00:00,2018-04-07 10:19:14+00:00,2018-04-07 12:30:00+00:00,2018-04-07 12:31:00+00:00,2018-04-07 13:09:00+00:00,-0.17944444444444443,2.0,2.8294444444444444,20.32076923076923,0.65
Star,FIHEL,EETLL,FIHEL → EETLL,2018-04-07 10:30:00+00:00,2018-04-07 10:30:00+00:00,2018-04-07 10:19:21+00:00,2018-04-07 12:30:00+00:00,2018-04-07 12:33:00+00:00,2018-04-07 12:35:00+00:00,-0.1775,2.0,2.2608333333333333,20.41259842519685,0.08333333333333333
Star,EETLL,FIHEL,EETLL → FIHEL,2018-04-07 13:30:00+00:00,2018-04-07 13:30:00+00:00,2018-04-07 13:20:23+00:00,2018-04-07 15:30:00+00:00,2018-04-07 15:33:00+00:00,2018-04-07 15:59:00+00:00,-0.16027777777777777,2.0,2.643611111111111,20.30238095238095,0.48333333333333334
Megastar,EETLL,FIHEL,EETLL → FIHEL,2018-04-08 10:30:00+00:00,2018-04-08 10:30:00+00:00,2018-04-08 10:20:27+00:00,2018-04-08 12:30:00+00:00,2018-04-08 12:32:00+00:00,2018-04-08 12:58:00+00:00,-0.15916666666666668,2.0,2.6258333333333335,19.92661290322581,0.4666666666666667
Star,EETLL,FIHEL,EETLL → FIHEL,2018-04-08 13:30:00+00:00,2018-04-08 13:30:00+00:00,2018-04-08 13:20:24+00:00,2018-04-08 15:30:00+00:00,2018-04-08 15:32:00+00:00,2018-04-08 16:15:00+00:00,-0.16,2.0,2.91,20.18780487804878,0.75
Star,FIHEL,EETLL,FIHEL → EETLL,2018-04-09 10:30:00+00:00,2018-04-09 10:30:00+00:00,2018-04-09 10:19:19+00:00,2018-04-09 12:30:00+00:00,2018-04-09 12:33:00+00:00,2018-04-09 12:46:00+00:00,-0.17805555555555555,2.0,2.444722222222222,20.67723577235773,0.26666666666666666
Megastar,EETLL,FIHEL,EETLL → FIHEL,2018-04-10 04:30:00+00:00,2018-04-10 04:30:00+00:00,2018-04-10 04:21:17+00:00,2018-04-10 06:30:00+00:00,2018-04-10 06:33:00+00:00,2018-04-10 06:54:00+00:00,-0.14527777777777778,2.0,2.5452777777777778,20.249612403100773,0.4
Finlandia,FIHEL,EETLL,FIHEL → EETLL,2018-04-10 18:40:00+00:00,2018-04-10 18:40:00+00:00,2018-04-10 18:42:26+00:00,2018-04-10 20:50:00+00:00,2018-04-10 21:02:00+00:00,2018-04-10 21:11:00+00:00,0.04055555555555555,2.1666666666666665,2.476111111111111,19.58467153284672,0.35
Megastar,FIHEL,EETLL,FIHEL → EETLL,2018-04-11 07:30:00+00:00,2018-04-11 07:30:00+00:00,2018-04-11 07:20:20+00:00,2018-04-11 09:30:00+00:00,2018-04-11 09:35:00+00:00,2018-04-11 09:28:00+00:00,-0.16111111111111112,2.0,2.1277777777777778,21.80909090909091,-0.03333333333333333
Finlandia,EETLL,FIHEL,EETLL → FIHEL,2018-04-11 09:00:00+00:00,2018-04-11 09:00:00+00:00,2018-04-11 09:07:16+00:00,2018-04-11 11:15:00+00:00,2018-04-11 11:25:00+00:00,2018-04-11 11:58:00+00:00,0.12111111111111111,2.25,2.8455555555555554,19.83432835820896,0.7166666666666667
Star,FIHEL,EETLL,FIHEL → EETLL,2018-04-11 16:30:00+00:00,2018-04-11 16:30:00+00:00,2018-04-11 16:20:20+00:00,2018-04-11 18:30:00+00:00,2018-04-11 18:35:00+00:00,2018-04-11 18:45:00+00:00,-0.16111111111111112,2.0,2.411111111111111,21.033050847457627,0.25
Star,EETLL,FIHEL,EETLL → FIHEL,2018-04-11 19:30:00+00:00,2018-04-11 19:30:00+00:00,2018-04-11 19:25:13+00:00,2018-04-11 21:30:00+00:00,2018-04-11 21:37:00+00:00,2018-04-11 22:05:00+00:00,-0.07972222222222222,2.0,2.6630555555555557,20.68617886178862,0.5833333333333334
Megastar,EETLL,FIHEL,EETLL → FIHEL,2018-04-12 04:30:00+00:00,2018-04-12 04:30:00+00:00,2018-04-12 04:20:17+00:00,2018-04-12 06:30:00+00:00,2018-04-12 06:31:00+00:00,2018-04-12 07:05:00+00:00,-0.16194444444444445,2.0,2.745277777777778,20.11908396946565,0.5833333333333334
Star,EETLL,FIHEL,EETLL → FIHEL,2018-04-12 07:30:00+00:00,2018-04-12 07:30:00+00:00,2018-04-12 07:27:14+00:00,2018-04-12 09:30:00+00:00,2018-04-12 09:37:00+00:00,2018-04-12 10:02:00+00:00,-0.04611111111111111,2.0,2.5794444444444444,21.64102564102564,0.5333333333333333
Megastar,EETLL,FIHEL,EETLL → FIHEL,2018-04-12 10:30:00+00:00,2018-04-12 10:30:00+00:00,2018-04-12 10:22:25+00:00,2018-04-12 12:30:00+00:00,2018-04-12 12:34:00+00:00,2018-04-12 13:02:00+00:00,-0.12638888888888888,2.0,2.6597222222222223,20.64015748031496,0.5333333333333333
Star,FIHEL,EETLL,FIHEL → EETLL,2018-04-12 16:30:00+00:00,2018-04-12 16:30:00+00:00,2018-04-12 16:25:04+00:00,2018-04-12 18:30:00+00:00,2018-04-12 18:38:00+00:00,2018-04-12 18:49:00+00:00,-0.08222222222222222,2.0,2.398888888888889,21.160683760683764,0.31666666666666665
Star,EETLL,FIHEL,EETLL → FIHEL,2018-04-12 19:30:00+00:00,2018-04-12 19:30:00+00:00,2018-04-12 19:27:12+00:00,2018-04-12 21:30:00+00:00,2018-04-12 21:39:00+00:00,2018-04-12 22:06:00+00:00,-0.04666666666666667,2.0,2.6466666666666665,20.48272727272727,0.6
Star,EETLL,FIHEL,EETLL → FIHEL,2018-05-01 07:30:00+00:00,2018-05-01 07:30:00+00:00,2018-05-01 07:22:14+00:00,2018-05-01 09:30:00+00:00,2018-05-01 09:34:00+00:00,2018-05-01 10:07:00+00:00,-0.12944444444444445,2.0,2.746111111111111,19.7872,0.6166666666666667
Finlandia,EETLL,FIHEL,EETLL → FIHEL,2018-05-01 09:00:00+00:00,2018-05-01 09:00:00+00:00,2018-05-01 09:01:22+00:00,2018-05-01 11:15:00+00:00,2018-05-01 11:20:00+00:00,2018-05-01 11:55:00+00:00,0.02277777777777778,2.25,2.8938888888888887,20.26136363636364,0.6666666666666666
Finlandia,FIHEL,EETLL,FIHEL → EETLL,2018-05-01 18:40:00+00:00,2018-05-01 18:42:00+00:00,2018-05-01 18:36:07+00:00,2018-05-01 20:50:00+00:00,2018-05-01 20:56:00+00:00,2018-05-01 20:54:00+00:00,-0.06472222222222222,2.1666666666666665,2.2980555555555555,20.11015625,0.06666666666666667
Star,FIHEL,EETLL,FIHEL → EETLL,2018-05-02 04:30:00+00:00,2018-05-02 04:30:00+00:00,2018-05-02 04:22:11+00:00,2018-05-02 06:30:00+00:00,2018-05-02 06:36:00+00:00,2018-05-02 06:44:00+00:00,-0.13027777777777777,2.0,2.363611111111111,20.51981981981982,0.23333333333333334
Star,FIHEL,EETLL,FIHEL → EETLL,2018-05-02 10:30:00+00:00,2018-05-02 10:30:00+00:00,2018-05-02 10:19:22+00:00,2018-05-02 12:30:00+00:00,2018-05-02 12:34:00+00:00,2018-05-02 12:41:00+00:00,-0.17722222222222223,2.0,2.3605555555555555,20.122413793103448,0.18333333333333332
